"","Comparison","Effect","Compelling_difference"
"1","Is not_Natural_Is not_Value","6.07 [4.96 - 7.05]","Yes"
"2","Is not_Artifact_Is not_Value","-0.69 [-1.61 - 0.34]","No"
"3","Is not_Artifact_Is not_Natural","-6.76 [-8.1 - -5.32]","Yes"
