"","Comparison","Effect","Compelling_difference"
"1","Is_Artifact_Is not_Artifact","2.53 [-0.12 - 5.22]","Yes"
"2","Is_Artifact_Both_Artifact","5.8 [3.32 - 8.17]","Yes"
"3","Both_Artifact_Is not_Artifact","-3.27 [-6.54 - -0.53]","Yes"
