"","Comparison","Effect","Compelling_difference"
"1","Is not_Natural_Is not_Value","-1.98 [-3.36 - -0.53]","Yes"
"2","Is not_Artifact_Is not_Value","-1.12 [-2.6 - 0.37]","No"
"3","Is not_Artifact_Is not_Natural","0.86 [-0.61 - 2.59]","No"
