"","Comparison","Effect","Compelling_difference"
"1","Both_Natural_Both_Value","-4.37 [-5.48 - -3.3]","Yes"
"2","Both_Artifact_Both_Value","0.34 [-0.58 - 1.26]","No"
"3","Both_Artifact_Both_Natural","4.72 [3.46 - 6.04]","Yes"
