"","Comparison","Effect","Compelling_difference"
"1","Both_Natural_Both_Value","-4.37 [-5.5 - -3.34]","Yes"
"2","Both_Artifact_Both_Value","0.34 [-0.61 - 1.2]","No"
"3","Both_Artifact_Both_Natural","4.71 [3.43 - 5.99]","Yes"
