"","Comparison","Effect","Compelling_difference"
"1","Both_natural_kind_Both_value","2.13 [0.63 - 3.56]","Yes"
"2","Both_artifact_Both_value","0.73 [-0.18 - 1.75]","No"
"3","Both_artifact_Both_natural_kind","-1.4 [-3.01 - -0.03]","Yes"
