"","Comparison","Effect","Compelling_difference"
"1","Is_Artifact_Is not_Artifact","7.22 [4.95 - 9.74]","Yes"
"2","Is_Artifact_Both_Artifact","1.67 [0.89 - 2.49]","Yes"
"3","Both_Artifact_Is not_Artifact","5.56 [3.39 - 7.9]","Yes"
