"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is_Value","3.07 [1.15 - 5.31]","Yes"
"2","Is_Artifact_Is_Value","0.98 [-0.44 - 2.41]","No"
"3","Is_Artifact_Is_Natural","-2.08 [-4.25 - 0.19]","Yes"
