"","Comparison","Effect","Compelling_difference"
"1","Both_Natural_Both_Value","-0.43 [-1.81 - 1.01]","No"
"2","Both_Artifact_Both_Value","-0.55 [-2.09 - 0.98]","No"
"3","Both_Artifact_Both_Natural","-0.12 [-1.7 - 1.41]","No"
