"","Comparison","Effect","Compelling_difference"
"1","Elaine right_artifact_Akira right_artifact","-1.98 [-3.5 - -0.55]","Yes"
"2","Both_artifact_Elaine right_artifact","2.24 [0.71 - 3.98]","Yes"
"3","Both_artifact_Akira right_artifact","0.26 [-0.54 - 1.06]","No"
