"","Comparison","Effect","Compelling_difference"
"1","Akira right_natural_kind_Akira right_value","1.79 [0.46 - 3.28]","Yes"
"2","Akira right_artifact_Akira right_value","0.42 [-0.48 - 1.21]","No"
"3","Akira right_artifact_Akira right_natural_kind","-1.36 [-2.72 - 0.15]","Yes"
