"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is not_Natural","5.29 [2.71 - 8.12]","Yes"
"2","Is_Natural_Both_Natural","3.12 [1.27 - 4.95]","Yes"
"3","Both_Natural_Is not_Natural","2.17 [-0.07 - 4.3]","Yes"
