"","Comparison","Effect","Compelling_difference"
"1","Is_Value_Is not_Value","0.24 [-1.38 - 1.87]","No"
"2","Is_Value_Both_Value","1.08 [0 - 2.27]","No"
"3","Both_Value_Is not_Value","-0.84 [-2.19 - 0.7]","No"
