"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is not_Natural","-2.06 [-3.52 - -0.58]","Yes"
"2","Is_Natural_Both_Natural","3.85 [2.21 - 5.24]","Yes"
"3","Both_Natural_Is not_Natural","-5.91 [-7.32 - -4.49]","Yes"
