"","Comparison","Effect","Compelling_difference"
"1","Is_Value_Is not_Value","-0.35 [-2.36 - 1.52]","No"
"2","Is_Value_Both_Value","2.76 [0.93 - 4.57]","Yes"
"3","Both_Value_Is not_Value","-3.11 [-5.17 - -1.44]","Yes"
