"","Comparison","Effect","Compelling_difference"
"1","Is not_Natural_Is not_Value","-0.35 [-2.11 - 1.51]","No"
"2","Is not_Artifact_Is not_Value","-0.4 [-2.22 - 1.33]","No"
"3","Is not_Artifact_Is not_Natural","-0.05 [-1.87 - 1.78]","No"
