"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is_Value","-1.01 [-2.13 - 0.19]","No"
"2","Is_Artifact_Is_Value","1.51 [0.36 - 2.69]","Yes"
"3","Is_Artifact_Is_Natural","2.52 [0.92 - 3.98]","Yes"
