"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is not_Natural","1.67 [-0.87 - 4.52]","No"
"2","Is_Natural_Both_Natural","4.87 [2.73 - 7.19]","Yes"
"3","Both_Natural_Is not_Natural","-3.2 [-6.23 - -0.23]","Yes"
