"","Comparison","Effect","Compelling_difference"
"1","Is_Natural_Is_Value","1.68 [-0.36 - 3.54]","Yes"
"2","Is_Artifact_Is_Value","2.48 [0.5 - 4.7]","Yes"
"3","Is_Artifact_Is_Natural","0.81 [-1.59 - 3.31]","No"
